{3,2,2,10,10,1,10,10,2,2,3,2,2,10,10,1},
{4,3,2,2,10,10,10,2,2,3,4,3,2,2,10,10},
{4,4,3,2,2,10,2,2,3,4,4,4,3,2,2,10},
{9,4,4,3,2,2,2,3,4,4,9,4,4,3,2,2},
{9,9,4,4,3,2,3,4,4,9,9,9,4,4,3,2},
{1,9,9,4,4,3,4,4,9,9,1,9,9,4,4,3},
{9,9,4,4,3,2,3,4,4,9,9,9,4,4,3,2},
{9,4,4,3,2,2,2,3,4,4,9,4,4,3,2,2},
{4,4,3,2,2,10,2,2,3,4,4,4,3,2,2,10},
{4,3,2,2,10,10,10,2,2,3,4,3,2,2,10,10},
{3,2,2,10,10,1,10,10,2,2,3,2,2,10,10,1},
{4,3,2,2,10,10,10,2,2,3,4,3,2,2,10,10},
{4,4,3,2,2,10,2,2,3,4,4,4,3,2,2,10},
{9,4,4,3,2,2,2,3,4,4,9,4,4,3,2,2},
{9,9,4,4,3,2,3,4,4,9,9,9,4,4,3,2},
{1,9,9,4,4,3,4,4,9,9,1,9,9,4,4,3},
